Product Title;Product Version;Product Artist;Product Barcode;Product Catalog Number;Product Label;Asset Title;Asset Version;Asset Artist;Asset ISRC;Asset Duration;Sale ID;Report ID;Report Name;Sale Unit Type;Sale Type;Sale Start date;Sale End date;Sale Store Name;Sale Country;Unit Count;Royalty;Currency;;;
Höga klackar;;Mares;7,07125E+12;HYBR165;Hybris;Höga klackar;;Mares;SEWGI1605001;181;953873735;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;GB;6;0,334698775;SEK;;;
Höga klackar;;Mares;7,07125E+12;HYBR165;Hybris;Höga klackar;;Mares;SEWGI1605001;181;953873718;136098;;Asset;Other;2019-03-03;2019-03-30;iTunes;SE;10;0,013965479;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Allt vi har är tid;;Mares;SEWGI1801503;250;953873697;136098;;Asset;Other;2019-03-03;2019-03-30;iTunes;GB;1;0,004592345;SEK;;;
Allt du gör och att du finns;;Mares;7,07125E+12;HYBR7071245201470;Hybris;Allt du gör och att du finns;;Mares;SEWGI1509001;260;953882365;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;SE;4;0,236654919;SEK;;;
Freddie;;Mares;7,07125E+12;HYBR7071245386337;Hybris;Freddie;;Mares;SEWGI1801901;172;953882316;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;SE;2;0,11832746;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Epos No. 1;;Mares;SEWGI1801501;332;953882315;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;SE;6;0,354982378;SEK;;;
Cyklar ni så springer jag;;Mares;7,07125E+12;HYBR204;Hybris;Cyklar ni så springer jag;;Mares;SEWGI1605601;208;953882307;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;SE;9;0,532473567;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953879196;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;DE;1;0,042368499;SEK;;;
Freddie;;Mares;7,07125E+12;HYBR7071245386337;Hybris;Freddie;;Mares;SEWGI1801901;172;953879189;136098;;Asset;Streaming;2019-03-01;2019-04-01;Google Play;DE;1;0,042368499;SEK;;;
Cyklar ni så springer jag;;Mares;7,07125E+12;HYBR204;Hybris;Cyklar ni så springer jag;;Mares;SEWGI1605601;208;953879091;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;NO;1;0,033249221;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953879068;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;NO;19;1,28120839;SEK;;;
95;;Mares;7,07125E+12;HYBR250;Hybris;95;;Mares;SEWGI1704101;229;953879067;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;NO;2;0,134864041;SEK;;;
Epos No. 1;Short Edit;Mares;8,71886E+12;HYBR273;Hybris;Epos No. 1;Short Edit;Mares;SEWGI1801701;223;953879064;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;NZ;1;0,085991929;SEK;;;
Cyklar ni så springer jag;;Mares;7,07125E+12;HYBR204;Hybris;Cyklar ni så springer jag;;Mares;SEWGI1605601;208;953876465;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;CA;9;0,418608243;SEK;;;
Höga klackar;O2H remix;Mares;7,07125E+12;HYBR165REMIX;Hybris;Höga klackar;O2H remix;Mares;SEWGI1602401;208;953876449;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;1;0,028836344;SEK;;;
Rock'n'Roll Will Never Die;;Mares;8,71886E+12;HYBR268;Hybris;Allt vi har är tid;;Mares;SEWGI1801503;250;953876409;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;6;0,32077598;SEK;;;
Freddie;;Mares;7,07125E+12;HYBR7071245386337;Hybris;Freddie;;Mares;SEWGI1801901;172;953876401;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;2;0,056937252;SEK;;;
Höga klackar;O2H remix;Mares;7,07125E+12;HYBR165REMIX;Hybris;Höga klackar;O2H remix;Mares;SEWGI1602401;208;953876399;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;5;0,045850928;SEK;;;
Höga klackar;;Mares;7,07125E+12;HYBR165;Hybris;Höga klackar;;Mares;SEWGI1605001;181;953876398;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;5;0,045850928;SEK;;;
Nattens sista dans;;Mares;7,07125E+12;HYBR222;Hybris;Nattens sista dans;;Mares;SEWGI1700701;172;953876397;136098;;Asset;Streaming;2019-03-01;2019-03-28;Apple Music;SE;2;0,051897527;SEK;;;
